id,food,Calories,Protein,Carbs,Fat,hourly_weighting
677,"Chicken thigh, baked or broiled, skin eaten, from pre-cooked",226,22.51,0.12,15.08,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
678,"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked",193,24.09,0,10.74,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
679,"Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant",243,22.57,0,16.25,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
680,"Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant",192,24.02,0,9.89,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
681,"Chicken thigh, rotisserie, skin eaten",226,22.51,0.12,15.08,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
682,"Chicken thigh, rotisserie, skin not eaten",193,24.09,0,10.74,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
683,"Chicken thigh, stewed, skin eaten",227,22.39,0,15.31,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
684,"Chicken thigh, stewed, skin not eaten",175,24.36,0,8.56,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
685,"Chicken thigh, grilled without sauce, skin eaten",243,22.61,0,16.29,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
686,"Chicken thigh, grilled without sauce, skin not eaten",192,24.07,0,9.91,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
687,"Chicken thigh, grilled with sauce, skin eaten",233,18.61,7.28,13.77,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
688,"Chicken thigh, grilled with sauce, skin not eaten",191,19.8,7.28,8.56,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
689,"Chicken thigh, sauteed, skin eaten",243,22.61,0,16.29,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
690,"Chicken thigh, sauteed, skin not eaten",192,24.07,0,9.91,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
691,"Chicken thigh, fried, coated, skin / coating eaten, from raw",273,19.01,5.98,18.61,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
692,"Chicken thigh, fried, coated, skin / coating not eaten, from raw",192,24.12,0,9.93,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
693,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",231,20.14,5.96,13.49,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
694,"Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked",277,18.23,7.15,19.01,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
695,"Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked",192,24.07,0,9.91,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
696,"Chicken thigh, fried, coated, skin / coating eaten, from fast food",294,16.26,13,19.67,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
697,"Chicken thigh, fried, coated, skin / coating not eaten, from fast food",218,19.42,6.31,12.8,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
698,"Chicken thigh, fried, coated, skin / coating eaten, from restaurant",294,16.26,13,19.67,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
699,"Chicken thigh, fried, coated, skin / coating not eaten, from restaurant",218,19.42,6.31,12.8,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
700,"Chicken thigh, baked, coated, skin / coating eaten",240,20.96,3.98,14.99,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
701,"Chicken thigh, baked, coated, skin / coating not eaten",192,24.07,0,9.91,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
702,"Chicken wing, NS as to cooking method",257,23.42,0.6,18.04,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
703,"Chicken wing, baked, broiled, or roasted, from raw",252,23.6,0,16.74,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
704,"Chicken wing, baked or broiled, from pre-cooked",257,23.42,0.6,18.04,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
705,"Chicken wing, baked or broiled, from fast food / restaurant",264,23.08,0,18.35,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
706,"Chicken wing, rotisserie",257,23.42,0.6,18.04,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
707,"Chicken wing, stewed",247,22.6,0,16.69,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
708,"Chicken wing, grilled without sauce",265,23.13,0,18.39,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
709,"Chicken wing, grilled with sauce",250,19.03,7.28,15.49,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
710,"Chicken wing, sauteed",265,23.13,0,18.39,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
711,"Chicken wing, fried, coated, from raw",289,19.39,5.96,20.24,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
712,"Chicken wing, fried, coated, from pre-cooked",294,18.62,7.15,20.59,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
713,"Chicken wing, fried, coated, from fast food",323,17.77,15,21.28,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
714,"Chicken wing, fried, coated, from restaurant",323,17.77,15,21.28,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
715,"Chicken wing, baked, coated",260,21.42,3.98,16.87,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
716,"Chicken ""wings"" with hot sauce, from fast food / restaurant",272,16.78,6.18,20.2,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
717,"Chicken ""wings"" with other sauces or seasoning, from fast food / restaurant",276,16.95,13.13,17.39,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
718,"Chicken ""wings"", plain, from fast food / restaurant",323,17.77,15,21.28,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
719,"Chicken ""wings"" with hot sauce, from precooked",254,17.57,2.5,19.48,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
720,"Chicken ""wings"" with other sauces or seasoning, from precooked",258,17.74,9.42,16.67,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
721,"Chicken ""wings"", plain, from precooked",294,18.62,7.15,20.59,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
722,"Chicken ""wings"" with hot sauce, from other sources",267,17.02,5.08,19.98,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
723,"Chicken ""wings"" with other sauces or seasoning, from other sources",271,17.19,12.01,17.17,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
724,"Chicken ""wings"", plain, from other sources",314,18.03,12.64,21.07,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
725,"Chicken ""wings"", boneless, with hot sauce, from fast food / restaurant",282,12.36,20.03,16.87,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
726,"Chicken ""wings"", boneless, with hot sauce, from other sources",232,11.39,19.98,11.82,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
727,"Chicken, back",298,25.73,0,20.8,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
728,"Chicken, neck or ribs",245,19.45,0,17.95,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
729,"Chicken, tail",454,20.36,0,40.68,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
730,Chicken skin,450,20.19,0,40.34,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
731,Chicken feet,215,19.4,0.2,14.6,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
732,"Chicken, canned, meat only",185,25.3,0.9,8.1,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
733,"Chicken, chicken roll, roasted",164,26.68,0,6.33,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
734,"Chicken patty, breaded",287,14.85,12.84,19.58,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
735,"Chicken fillet, breaded",240,14.62,14.86,13.58,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
736,"Chicken fillet, grilled",151,22.31,2.36,5.81,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
737,"Chicken, ground",201,27.14,0,10.31,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
738,"Chicken nuggets, NFS",307,15.92,14.93,20.36,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
739,"Chicken nuggets, from fast food",307,15.92,14.93,20.36,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
740,"Chicken nuggets, from restaurant",307,15.92,14.93,20.36,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
741,"Chicken nuggets, from school lunch",270,15.67,22.86,12.9,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
742,"Chicken nuggets, from frozen",298,13.36,17.88,19.23,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
743,"Chicken nuggets, from other sources",304,15.15,15.81,20.02,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
744,"Chicken tenders or strips, NFS",271,19.22,17.25,13.95,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
745,"Chicken tenders or strips, breaded, from fast food",271,19.22,17.25,13.95,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
746,"Chicken tenders or strips, breaded, from restaurant",283,18.82,16.9,15.62,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
747,"Chicken tenders or strips, breaded, from school lunch",270,15.67,22.86,12.9,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
748,"Chicken tenders or strips, breaded, from frozen",240,14.62,14.86,13.58,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
749,"Chicken tenders or strips, breaded, from other sources",262,17.84,16.53,13.84,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
750,"Fried chicken chunks, Puerto Rican style",350,21.12,20.84,19.9,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
751,"Turkey, NFS",139,28.81,0,2.06,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
752,"Turkey, light meat, skin not eaten",139,28.81,0,2.06,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
753,"Turkey, light meat, skin eaten",169,28.28,0.03,5.55,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
754,"Turkey, light meat, breaded, baked or fried, skin not eaten",173,27.26,6.46,3.69,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
755,"Turkey, light meat, breaded, baked or fried, skin eaten",200,26.78,6.48,6.84,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
756,"Turkey, light meat, roasted, skin not eaten",139,28.81,0,2.06,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
757,"Turkey, light meat, roasted, skin eaten",169,28.28,0.03,5.55,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
758,"Turkey, dark meat, roasted, skin not eaten",167,26.94,0,5.98,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
759,"Turkey, dark meat, roasted, skin eaten",202,26.46,0.05,10.16,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
760,"Turkey, light and dark meat, roasted, skin not eaten",151,27.99,0,3.76,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
761,"Turkey, light and dark meat, roasted, skin eaten",183,27.48,0.04,7.54,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
762,"Turkey, light or dark meat, fried, coated, skin not eaten",165,27.22,1.42,5.06,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
763,"Turkey, light or dark meat, fried, coated, skin eaten",192,26.2,1.42,8.51,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
764,"Turkey, light or dark meat, stewed, skin not eaten",158,31.18,0.19,2.66,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
765,"Turkey light or dark meat, stewed, skin eaten",204,30.25,0.14,8.52,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
766,"Turkey, light or dark meat, smoked, skin eaten",208,28.1,0,9.7,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
767,"Turkey, light or dark meat, smoked, skin not eaten",162,29.3,0,5,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
768,"Turkey, drumstick, cooked, skin not eaten",144,28.52,0,3.38,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
769,"Turkey, drumstick, cooked, skin eaten",206,27.64,0,9.74,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
770,"Turkey, drumstick, roasted, skin not eaten",144,28.52,0,3.38,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
771,"Turkey, drumstick, roasted, skin eaten",203,26.86,0,10.07,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
772,"Turkey, drumstick, smoked, skin eaten",200,27.9,0,9.8,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
773,"Turkey, thigh, cooked, skin eaten",182,24.36,0.27,9.26,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
774,"Turkey, thigh, cooked, skin not eaten",161,26.94,0,5.98,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
775,"Turkey, neck",161,22.29,0,7.3,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
776,"Turkey, wing, cooked, skin not eaten",139,28.81,0,2.06,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
777,"Turkey, wing, cooked, skin eaten",202,26.87,0,9.97,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
778,"Turkey, wing, smoked, skin eaten",221,27.4,0,12.41,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
779,"Turkey, tail",294,22.25,0,22.8,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
780,"Turkey, back",203,25.58,0,11.26,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
781,"Turkey, canned",185,25.3,0.9,8.1,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
782,"Turkey, ground",211,26.87,0,11.5,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
783,"Turkey, nuggets",236,22.19,17.14,8.66,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
784,"Turkey bacon, cooked",368,29.5,4.24,25.87,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
785,"Turkey bacon, reduced sodium, cooked",253,13.33,4.8,20,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
786,"Duck, cooked, skin eaten",336,18.91,0,28.23,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
787,"Duck, cooked, skin not eaten",200,23.38,0,11.15,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
788,"Duck, roasted, skin eaten",336,18.91,0,28.23,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
789,"Duck, roasted, skin not eaten",200,23.38,0,11.15,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
790,"Duck, pressed, Chinese",152,5.34,6.24,11.73,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
791,"Goose, wild, roasted",304,25.06,0,21.83,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
792,"Cornish game hen, cooked, skin eaten",257,22.08,0,18.06,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
793,"Cornish game hen, cooked, skin not eaten",133,23.11,0,3.84,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
794,"Cornish game hen, roasted, skin eaten",257,22.08,0,18.06,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
795,"Cornish game hen, roasted, skin not eaten",133,23.11,0,3.84,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
796,"Dove, cooked, NS as to cooking method",212,23.8,0,12.95,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
797,"Dove, fried",223,23.06,1.46,13.84,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
798,"Quail, cooked",226,25,0,14.04,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
799,"Pheasant, cooked",238,32.26,0,12.05,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
800,Baby Toddler chicken,130,13.7,0.1,7.9,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
801,Baby Toddler turkey,111,11.5,1.4,6.2,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
802,"Liver, beef",174,26.31,5.12,4.64,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
803,"Liver, chicken",189,20.02,6.48,8.69,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
804,"Liver, paste or pate",201,13.45,6.55,13.1,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
805,Heart,164,28.25,0.15,4.69,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
806,Kidney,157,27.05,0,4.61,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
807,Sweetbreads,124,22.49,0,3.08,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
808,Brains,150,11.58,1.47,10.45,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
809,Tongue,282,19.14,0,22.12,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
810,"Tongue pot roast, Puerto Rican style",317,21.03,0.32,25.04,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
811,Tripe,89,12.6,0,3.85,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
812,Chitterlings,231,12.39,0,20.16,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
813,Hog maws,250,26.53,0,15.97,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
814,Gizzard,153,30.15,0,2.66,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
815,"Hot dog, NFS",310,11.7,2.89,28,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
816,"Hot dog, beef",310,11.7,2.89,28,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
817,"Hot dog, meat and poultry",277,9.72,5.02,24.18,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
818,"Hot dog, reduced fat",216,13.75,5.1,15.66,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
819,"Hot dog, turkey",223,12.23,3.81,17.29,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
820,Beef sausage,341,13.3,3.37,28.7,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
821,"Beef sausage, reduced fat",267,20.94,0.15,20.32,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
822,"Beef sausage, reduced sodium",233,19.93,13.25,11.13,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
823,Beef sausage with cheese,344,13.78,3.4,29.01,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
824,Blood sausage,379,14.6,1.29,34.5,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
825,Bratwurst,333,13.72,2.85,29.18,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
826,"Bratwurst, with cheese",337,14.16,2.94,29.44,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
827,Bologna,281,10.34,6.31,23.77,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
828,"Bologna, reduced fat",204,11.8,5.2,14.8,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
829,"Bologna, reduced sodium",281,10.34,6.31,23.77,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
830,Turkey or chicken and beef sausage,267,16.47,2.23,20.47,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
831,Chorizo,341,19.3,2.63,28.1,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
832,Head cheese,157,13.83,0,10.9,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
833,Knockwurst,307,11.1,3.2,27.7,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
834,Mortadella,311,16.37,3.05,25.39,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
835,"Pastrami, NFS",147,21.8,0.36,5.82,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
836,"Pastrami, made from any kind of meat, reduced fat",115,18.62,0.64,3.69,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
837,"Pepperoni, NFS",504,19.25,1.18,46.28,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
838,"Pepperoni, reduced fat",378,21.07,0.72,31.65,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
839,"Pepperoni, reduced sodium",504,19.25,1.18,46.28,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
840,Polish sausage,337,12.45,5.03,29.68,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
841,Italian sausage,317,18.2,2.15,26.2,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
842,"Sausage, NFS",325,18.53,1.42,27.25,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
843,Pork sausage,325,18.53,1.42,27.25,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
844,"Pork sausage, reduced fat",267,20.94,0.15,20.32,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
845,"Pork sausage, reduced sodium",233,19.93,13.25,11.13,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
846,Pork sausage rice links,267,20.94,0.15,20.32,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
847,Pork and beef sausage,333,15.92,2.4,27.98,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
848,"Salami, NFS",378,21.07,0.72,31.65,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
849,"Salami, made from any type of meat, reduced fat",172,19.2,1.55,9.21,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
850,"Salami, made from any type of meat, reduced sodium",378,21.07,0.72,31.65,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
851,"Scrapple, cooked",227,8.57,14.96,14.76,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
852,Thuringer,362,17.45,3.33,30.43,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
853,Turkey or chicken sausage,193,19.65,1.09,12.24,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
854,"Turkey or chicken sausage, reduced sodium",230,20.03,13.32,10.7,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
855,"Turkey or chicken sausage, reduced fat",193,19.65,1.09,12.24,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
856,Turkey or chicken and pork sausage,307,22.7,0.7,23,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
857,"Turkey or chicken, pork, and beef sausage, reduced sodium",233,19.93,13.25,11.13,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
858,"Vienna sausage, canned",230,10.5,2.6,19.4,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
859,Pickled sausage,314,18.06,2.13,25.99,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
860,"Luncheon meat, NFS",101,16.7,0.27,3.73,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
861,"Ham, prepackaged or deli, luncheon meat",101,16.7,0.27,3.73,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
862,"Ham, prepackaged or deli, luncheon meat, reduced sodium",101,16.7,0.27,3.73,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
863,"Chicken, prepackaged or deli, luncheon meat",98,17.4,2.92,1.86,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
864,"Chicken, prepackaged or deli, luncheon meat, reduced sodium",98,17.4,2.92,1.86,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
865,"Ham luncheon meat, loaf type",117,17.99,1.57,4.39,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
866,Spam,315,13.4,4.6,26.6,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
867,"Spam, reduced sodium",293,12.5,3.4,25.1,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
868,Liverwurst,327,14.5,3.1,28.5,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
869,"Luncheon meat, loaf type",225,11.23,8.46,15.95,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
870,"Turkey, prepackaged or deli, luncheon meat",106,14.81,2.2,3.77,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
871,"Turkey, prepackaged or deli, luncheon meat, reduced sodium",106,14.81,2.2,3.77,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
872,"Turkey ham, prepackaged or deli, luncheon meat",124,19.6,2.93,3.8,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
873,"Beef, prepackaged or deli, luncheon meat",115,18.62,0.64,3.69,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
874,"Beef, prepackaged or deli, luncheon meat, reduced sodium",115,18.62,0.64,3.69,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
875,"Meat spread or potted meat, NFS",235,7.66,11.94,17.34,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
876,Chicken salad spread,200,11.64,7.41,13.52,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
877,Ham salad spread,216,8.68,10.64,15.53,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
878,"Fish, raw",94,17.22,0,2.34,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
879,"Fish, NFS",238,19.32,6.64,14.52,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
880,"Fish, NS as to type, baked or broiled",208,23,0.01,12.39,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
881,"Fish, NS as to type, baked or broiled, coated",223,20.73,7.79,11.67,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
882,"Fish, NS as to type, fried",269,16.05,11.72,17.23,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
883,"Fish, NS as to type, steamed",171,23.41,0,8.11,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
884,"Fish, canned",156,23.19,0,6.3,"{0: 0.0, 1: 0.9, 2: 0.0, 3: 0.6}"
