id,food,Calories,Protein,Carbs,Fat,hourly_weighting
49,"Yogurt, nonfat milk, fruit",83,5.09,15.02,0.17,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
50,"Yogurt, Greek, NS as to type of milk, fruit",105,8.17,12.29,2.57,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
51,"Yogurt, Greek, whole milk, fruit",106,7.33,12.29,3,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
52,"Yogurt, Greek, low fat milk, fruit",105,8.17,12.29,2.57,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
53,"Yogurt, Greek, nonfat milk, fruit",82,8.06,12.2,0.15,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
54,"Yogurt, NS as to type of milk, flavors other than fruit",73,5.09,9.82,1.51,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
55,"Yogurt, whole milk, flavors other than fruit",78,3.3,9.41,3.1,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
56,"Yogurt, low fat milk, flavors other than fruit",73,5.09,9.82,1.51,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
57,"Yogurt, nonfat milk, flavors other than fruit",66,5.56,10.44,0.18,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
58,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",95,8.64,9.54,2.5,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
59,"Yogurt, Greek, whole milk, flavors other than fruit",111,8.47,9.35,4.44,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
60,"Yogurt, Greek, low fat milk, flavors other than fruit",95,8.64,9.54,2.5,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
61,"Yogurt, Greek, nonfat milk, flavors other than fruit",78,8.64,10.37,0.18,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
62,"Yogurt, Greek, with oats",160,8.88,21.1,4.6,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
63,"Yogurt, liquid",72,3.71,11.81,1.09,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
64,"Chipotle dip, yogurt based",189,7.93,3.33,15.99,"{0: 0.0, 1: 0.1, 2: 0.0, 3: 0.1}"
65,"Onion dip, yogurt based",160,6.82,4.06,12.91,"{0: 0.0, 1: 0.1, 2: 0.0, 3: 0.1}"
66,"Ranch dip, yogurt based",195,8.48,4.13,16.09,"{0: 0.0, 1: 0.1, 2: 0.0, 3: 0.1}"
67,"Spinach dip, yogurt based",159,7.02,3.59,12.96,"{0: 0.0, 1: 0.1, 2: 0.0, 3: 0.1}"
68,Tzatziki dip,93,5.35,3.92,6.31,"{0: 0.0, 1: 0.1, 2: 0.0, 3: 0.1}"
69,"Vegetable dip, yogurt based",191,8.16,3.76,16.03,"{0: 0.0, 1: 0.1, 2: 0.0, 3: 0.1}"
70,"Yogurt parfait, low fat, with fruit",84,3.36,15.86,1.01,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
71,"Frozen yogurt, NFS",127,3,21.6,3.6,"{0: 0, 1: 0.3, 2: 0.1, 3: 0.3}"
72,"Frozen yogurt, vanilla",127,3,21.6,3.6,"{0: 0, 1: 0.3, 2: 0.1, 3: 0.3}"
73,"Frozen yogurt, chocolate",131,3,21.6,3.6,"{0: 0, 1: 0.3, 2: 0.1, 3: 0.3}"
74,"Frozen yogurt, soft serve, vanilla",159,4,24.2,5.6,"{0: 0, 1: 0.3, 2: 0.1, 3: 0.3}"
75,"Frozen yogurt, soft serve, chocolate",160,4.31,24.87,5.76,"{0: 0, 1: 0.3, 2: 0.1, 3: 0.3}"
76,Frozen yogurt sandwich,204,3.9,34.38,6.25,"{0: 0, 1: 0.3, 2: 0.1, 3: 0.3}"
77,"Frozen yogurt bar, vanilla",127,3,21.6,3.6,"{0: 0, 1: 0.3, 2: 0.1, 3: 0.3}"
78,"Frozen yogurt bar, chocolate",131,3,21.6,3.6,"{0: 0, 1: 0.3, 2: 0.1, 3: 0.3}"
79,"Frozen yogurt cone, chocolate",142,3.2,23.9,3.73,"{0: 0, 1: 0.3, 2: 0.1, 3: 0.3}"
80,"Frozen yogurt cone, vanilla",139,3.2,23.9,3.73,"{0: 0, 1: 0.3, 2: 0.1, 3: 0.3}"
81,"Frozen yogurt cone, vanilla, waffle cone",143,3.29,25.28,3.61,"{0: 0, 1: 0.3, 2: 0.1, 3: 0.3}"
82,"Frozen yogurt cone, chocolate, waffle cone",147,3.29,25.28,3.61,"{0: 0, 1: 0.3, 2: 0.1, 3: 0.3}"
83,"Baby Toddler food, NFS",75,4.9,9.08,2.15,"{0: 0.0, 1: 0.1, 2: 0.0, 3: 0.1}"
84,"Baby Toddler yogurt, plain",61,3.47,4.66,3.25,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
85,"Baby Toddler yogurt, with fruit",83,3.16,11.08,2.93,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
86,"Chocolate milk, NFS",67,3.39,13.46,0,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
87,"Chocolate milk, ready to drink, whole",83,3.17,10.34,3.39,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
88,"Chocolate milk, ready to drink, reduced fat",76,2.99,12.13,1.9,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
89,"Chocolate milk, ready to drink, fat free",67,3.39,13.46,0,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
90,"Chocolate milk, ready to drink, low fat",64,3.46,10.15,1.11,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
91,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",57,3.43,7.68,1.04,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
92,"Chocolate milk, ready to drink, low fat (Nesquik)",64,3.46,10.15,1.11,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
93,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",64,3.46,10.15,1.11,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
