ae,crossover_type,crossover_probability,mutation_probability,f1_min,f1_mean,f1_max,f1_sd,f2_min,f2_mean,f2_max,f2_sd,execution_time_min,execution_time_mean,execution_time_max,execution_time_sd
1,column,0.3,0.1,447.7076442737715,769.6197226329346,1170.3659524963532,182.01929697981325,0.0,5.0,120.0,26.03203155089258,5.473074913024902,5.593641400337219,5.8645102977752686,0.09096947331394065
2,column,0.3,0.01,122.84167099147483,253.02800378200388,644.0734173057073,100.66878460167771,0.0,0.0,140.0,36.03825862010996,5.627971410751343,5.828387975692749,6.057415008544922,0.09944641378793975
3,column,0.3,0.005,195.98190361110264,295.53971126738554,781.0137860974331,186.99351255960318,0.0,0.0,120.0,29.25812831634737,5.730622053146362,5.864447236061096,6.07577109336853,0.07532560603233816
4,column,0.5,0.1,632.7193621615289,881.1950158741599,1444.5090097469006,164.25041837709793,0.0,10.0,140.0,30.306752191468185,5.676267623901367,5.838360786437988,6.057947874069214,0.10140754224236628
5,column,0.5,0.01,182.9399853382976,239.61637002277922,899.6377580756911,166.67720209796406,0.0,0.0,120.0,24.3598406979972,5.744340181350708,5.9420692920684814,6.140655755996704,0.09383491022515753
6,column,0.5,0.005,176.02678437730611,292.0204315458808,597.2233915475463,111.78673952333332,0.0,0.0,130.0,26.22498808388671,5.7938392162323,5.952282190322876,6.1029953956604,0.08190527733990889
7,column,0.8,0.1,461.95592198897737,808.4555445475789,1411.2873655852918,181.89172760274215,0.0,10.0,130.0,30.46354122143386,5.738264560699463,5.844655156135559,5.983391761779785,0.07380889647240955
8,column,0.8,0.01,164.05068633989328,263.9430567641078,818.4675001745286,126.1641135048387,0.0,0.0,130.0,31.089813892220285,5.709003210067749,5.969965219497681,6.146164417266846,0.09587204302098637
9,column,0.8,0.005,201.60439610238527,276.1491559307555,844.8221472796622,123.97318029221012,0.0,0.0,120.0,24.714912274913956,5.897022724151611,6.0184773206710815,6.718694686889648,0.16723808020069417
10,row,0.3,0.1,493.92199413406473,846.6836421227313,1370.8047796814571,191.12668735876068,0.0,0.0,120.0,25.54944685690627,5.919865608215332,6.438871741294861,7.490159511566162,0.4925849411590485
11,row,0.3,0.01,148.58701798600626,261.411724102653,472.499216608835,55.05808159595136,0.0,0.0,20.0,5.112121560377116,6.634260177612305,6.981266379356384,7.947998285293579,0.2616406593728918
12,row,0.3,0.005,163.75927528991028,275.2780502709491,721.933553899973,138.8894040112463,0.0,0.0,110.0,23.634637161708564,6.6955296993255615,6.957205414772034,7.470890998840332,0.18494709257512318
13,row,0.5,0.1,430.4069594256452,779.850062548693,1170.9895513749916,172.7408251801111,0.0,10.0,140.0,32.793936141590095,6.609217643737793,6.749357223510742,6.95691990852356,0.08670518683510649
14,row,0.5,0.01,150.0624568557185,236.24852461567127,572.6428639397831,69.1740940533221,0.0,0.0,10.0,3.72677996249965,6.74202299118042,6.924369931221008,7.247340440750122,0.12134897587226087
15,row,0.5,0.005,182.52563656753205,271.36308588357366,830.3945593365763,154.79482369717545,0.0,0.0,110.0,17.071611209755577,6.7288782596588135,7.237060546875,8.50614857673645,0.3954433613382719
16,row,0.8,0.1,379.9154974946005,828.9462433723587,1270.0249604063818,194.93339729003245,0.0,10.0,130.0,22.952485900149025,7.170912981033325,7.547747492790222,8.202115297317505,0.26151912638815533
17,row,0.8,0.01,177.40898346310328,249.89512996486712,376.6138407773965,45.21377163611132,0.0,0.0,120.0,31.917863337009262,7.238595485687256,7.841180920600891,8.682232856750488,0.4330608051047743
18,row,0.8,0.005,183.41761273843719,341.5434710193596,1915.4426190862237,345.4738159088327,0.0,0.0,110.0,17.443829570442514,7.33210563659668,7.667492032051086,8.317270755767822,0.2431375339012113
